Date of analysis,Country,Total country population,Level 1,Area,Validity period,From,To,Phase,Number,Percentage
#date+analysis,#country+code,#population,#loc+level1,#loc+area,#period+v_ipc,#date+start,#date+end,#severity+v_ipc,#affected+num,#affected+pct
Aug 2023,SOM,16955266,Lower Juba,Kismaayo (2),current,2023-08-01,2023-09-30,4,0,0
Aug 2023,SOM,16955266,Lower Juba,Kismaayo (2),current,2023-08-01,2023-09-30,5,0,0
Aug 2023,SOM,16955266,Lower Juba,Kismaayo (2),projected,2023-10-01,2023-12-31,all,35164,1.0
Aug 2023,SOM,16955266,Lower Juba,Kismaayo (2),projected,2023-10-01,2023-12-31,3+,3516,0.1
Aug 2023,SOM,16955266,Lower Juba,Kismaayo (2),projected,2023-10-01,2023-12-31,1,21098,0.6
Aug 2023,SOM,16955266,Lower Juba,Kismaayo (2),projected,2023-10-01,2023-12-31,2,10549,0.3
Aug 2023,SOM,16955266,Lower Juba,Kismaayo (2),projected,2023-10-01,2023-12-31,3,3516,0.1
Aug 2023,SOM,16955266,Lower Juba,Kismaayo (2),projected,2023-10-01,2023-12-31,4,0,0
Aug 2023,SOM,16955266,Lower Juba,Kismaayo (2),projected,2023-10-01,2023-12-31,5,0,0
Aug 2023,SOM,16955266,Lower Juba,Dhobley IDPS,current,2023-08-01,2023-09-30,all,48114,1.0
Aug 2023,SOM,16955266,Lower Juba,Dhobley IDPS,current,2023-08-01,2023-09-30,3+,14433,0.3
Aug 2023,SOM,16955266,Lower Juba,Dhobley IDPS,current,2023-08-01,2023-09-30,1,19245,0.4
Aug 2023,SOM,16955266,Lower Juba,Dhobley IDPS,current,2023-08-01,2023-09-30,2,14434,0.3
Aug 2023,SOM,16955266,Lower Juba,Dhobley IDPS,current,2023-08-01,2023-09-30,3,9622,0.2
Aug 2023,SOM,16955266,Lower Juba,Dhobley IDPS,current,2023-08-01,2023-09-30,4,4811,0.1
Aug 2023,SOM,16955266,Lower Juba,Dhobley IDPS,current,2023-08-01,2023-09-30,5,0,0
Aug 2023,SOM,16955266,Lower Juba,Dhobley IDPS,projected,2023-10-01,2023-12-31,all,48114,1.0
Aug 2023,SOM,16955266,Lower Juba,Dhobley IDPS,projected,2023-10-01,2023-12-31,3+,24056,0.5
Aug 2023,SOM,16955266,Lower Juba,Dhobley IDPS,projected,2023-10-01,2023-12-31,1,7217,0.15
Aug 2023,SOM,16955266,Lower Juba,Dhobley IDPS,projected,2023-10-01,2023-12-31,2,16839,0.35
Aug 2023,SOM,16955266,Lower Juba,Dhobley IDPS,projected,2023-10-01,2023-12-31,3,14434,0.3
Aug 2023,SOM,16955266,Lower Juba,Dhobley IDPS,projected,2023-10-01,2023-12-31,4,9622,0.2
Aug 2023,SOM,16955266,Lower Juba,Dhobley IDPS,projected,2023-10-01,2023-12-31,5,0,0
